id,front,back,entry_type
slovak-0703,(i)šla,she went,term
slovak-0704,(i)šli,they went,term
slovak-0705,krčma,pub; bar,term
slovak-0706,nás,us (acc),term
slovak-0707,nikto nebol,nobody was,term
slovak-0708,robil som,I was doing,sentence
slovak-0709,sedel si,you (s) sat,sentence
slovak-0710,skúška,exam,term
slovak-0711,na skúška,for an exam,term
slovak-0712,stretnutie,meeting,term
slovak-0713,učili sme,we studied,sentence
slovak-0714,vás,you (acc),term
slovak-0715,všetci,all; everyone,term
slovak-0716,hral som,I played,sentence
slovak-0717,neskoro,late,term
slovak-0718,nikto neprišiel,nobody came,term
slovak-0719,odišiel si,you (s) went away,sentence
slovak-0720,pozerala,she watched,term
slovak-0721,šach; šachy,chess,term
slovak-0722,týždeň,the week,term
slovak-0723,vstávat',to get up (impf),term
slovak-0724,zavčasu,early,term
slovak-0725,ako dlho ste tam čakali?,how long did you (pl) wait there?,sentence
slovak-0726,my sme sa učili,we were studying,sentence
slovak-0727,ja som nešiel,I didn't go,sentence
slovak-0728,kde si bol?,where were you (s)?,sentence
slovak-0729,nemala čas,she didn't have time,sentence
slovak-0730,je ošklivo,it's horrible (weather),sentence
slovak-0731,je teplo,it's warm,sentence
slovak-0732,je horúco,it's hot,sentence
slovak-0733,bolo chladno,it was cool,sentence
slovak-0734,bolo zima,it was cold,sentence
slovak-0735,vonku je tma,outside it's dark,term
slovak-0736,bolo svetlo,it was light,sentence
slovak-0737,dnes bolo slnečno,today it was sunny,term
slovak-0738,je oblačno,it's cloudy,sentence
slovak-0739,je zatiahnuto,it's overcast,sentence
slovak-0740,je hmlisto,it's misty,sentence
slovak-0741,je veterno,it's windy,sentence
slovak-0742,je sucho,it's dry,sentence
slovak-0743,je mokro,it's damp,sentence
slovak-0744,bola búrka,there was a thunderstorm,sentence
slovak-0745,prší,it's raining,term
slovak-0746,sneží,it's snowing,term
slovak-0747,mrzne,it's freezing,term
slovak-0748,slnko svieti,the sun is shining,term
slovak-0749,je pekne,it's fine,sentence
slovak-0750,je mi krásne,I feel great,sentence
slovak-0751,je ti vám zima?,do you feel cold?,sentence
slovak-0752,skoro,early,term
slovak-0753,ako,like; as if,term
slovak-0754,celkom,quite; entirely,term
slovak-0755,d'alši,another; a further,term
slovak-0756,dlhý,long,term
slovak-0757,ešte,still,term
slovak-0758,ešte jeden,another; still one,term
slovak-0759,fúkat',to blow,term
slovak-0760,každý,each; every,term
slovak-0761,most,a bridge,term
slovak-0762,nudit' sa,to be bored,term
slovak-0763,prechádzat',to cross; go through,term
slovak-0764,pršat',to rain,term
slovak-0765,pršalo,it was raining,term
slovak-0766,ráno,morning,term
slovak-0767,rozprávat' sa,to talk; chat,term
slovak-0768,stát',to stand,term
slovak-0769,stál,he stood,term
slovak-0770,sused; suseda,neighbour,term
slovak-0771,takmer,almost,term
slovak-0772,tma,darkness; dark,term
slovak-0773,tunel,tunnel,term
slovak-0774,veselo,happy; merry,term
slovak-0775,vietor; vetra,wind,term
slovak-0776,vracat' sa,to return,term
slovak-0777,vraciam sa,I return,sentence
slovak-0778,vyzerat',to look; appear,term
slovak-0779,zastávka,bus stop,term
slovak-0780,Zuzke sa nechcelo íst' do práce,Zuzka did not feel like going to work,term
slovak-0781,ani,even,term
slovak-0782,bát' sa,to be afraid,term
slovak-0783,bojím sa,I am afraid,sentence
slovak-0784,dovolit' si,to afford (for oneself),term
slovak-0785,hmla,mist; fog,term
slovak-0786,hustý,thick,term
slovak-0787,iný,other,term
slovak-0788,možnost',possibility,term
slovak-0789,napokon,finally,term
slovak-0790,nasadla,boarded,term
slovak-0791,nemohla,she couldn't,term
slovak-0792,nikdy,never,term
slovak-0793,noviny,newspaper,term
slovak-0794,peniaze,money,term
slovak-0795,ponáhl'at' sa,to hurry,term
slovak-0796,preplnený,crowded; over-full,term
slovak-0797,prišiel,he arrived; came,term
slovak-0798,príde,he / she will come,term
slovak-0799,raňajkovat',to have breakfast (impf),term
slovak-0800,raňajky,breakfast,term
slovak-0801,stále nešiel,he still didn't come,sentence
slovak-0802,o štvrt'hodinu,in a quarter of an hour,term
slovak-0803,takto,this way; like this,term
slovak-0804,takže,so that,term
slovak-0805,viest' auto,to drive,term
slovak-0806,vraviet',to say,term
slovak-0807,začinat',to begin (impf),term
slovak-0808,bud' … alebo,either … or,term
slovak-0809,dám si,I'll have (give myself),sentence
slovak-0810,džem,jam,term
slovak-0811,jedávat',to eat (repeatedly),term
slovak-0812,jest',to eat,term
slovak-0813,jem,I eat,term
slovak-0814,maslo,butter,term
slovak-0815,menza,refectory,term
slovak-0816,rožok,crescent shape bread roll,term
slovak-0817,saláma,salami,term
slovak-0818,bravčový rezeň,pork schnitzel,term
slovak-0819,drahý,expensive,term
slovak-0820,hoci,although,term
slovak-0821,jedol,he ate,term
slovak-0822,kurča,chicken,term
slovak-0823,zeleninová polievka,vegetable soup,term
slovak-0824,pomerne,fairly; relatively,term
slovak-0825,reštaurácia,restaurant,term
slovak-0826,ryža,rice,term
slovak-0827,zemiakový šalát,potato salad,term
slovak-0828,fazul'ka,beans,term
slovak-0829,horčica,mustard,term
slovak-0830,klobása,sausage,term
slovak-0831,málo,little; few,term
slovak-0832,párok,frankfurter,term
slovak-0833,párok v rožku,hot dog,term
slovak-0834,ulica,street,term
slovak-0835,večerat',to have supper,term
slovak-0836,večeriam,I have supper,term
slovak-0837,vel'a,a lot of,term
slovak-0838,život,life,term
slovak-0839,ješ,you (s) eat,term
slovak-0840,je,he / she eats,term
slovak-0841,jeme,we eat,term
slovak-0842,jete,you (pl) eat,term
slovak-0843,jedia,they eat,term
slovak-0844,pil,he drank,term
slovak-0845,pila,she drank,term
slovak-0846,pili,they drank,term
slovak-0847,do ulice (gen),into the street ,term
slovak-0848,k ulici (dat),towards the street,term
slovak-0849,na ulici (dat),on the street,term
slovak-0850,pod ulicou (instr),under the street,term
slovak-0851,do reštaurácie (gen),into the restaurant,term
slovak-0852,v reštaurácii (instr),in the restaurant,term
slovak-0853,idem do kaviarne,I'm going to the café,sentence
slovak-0854,sedím v kaviarni,I'm sitting in the café,sentence
slovak-0855,sedím pred kaviarňou,I'm sitting in front of the café,sentence
slovak-0856,vel'a radosti,lots of joy,term
slovak-0857,čo ste jedli?,what did you eat?,sentence
slovak-0858,celý,(a) whole,term
slovak-0859,kaviareň; -rne (f),café,term
slovak-0860,pred hodinou,an hour ago,term
slovak-0861,schôdzka,meeting,term
slovak-0862,von,out (motion),term
slovak-0863,viezol,he drove; took,term
slovak-0864,brat',to take,term
slovak-0865,beriem,I take,term
slovak-0866,boliet',to hurt,term
slovak-0867,cítit',to feel,term
slovak-0868,hlava,head,term
slovak-0869,hore,up; upstairs,term
slovak-0870,knižnica,library,term
slovak-0871,noc,night,term
slovak-0872,pieseň,song,term
slovak-0873,povedat',to say; tell,term
slovak-0874,spevák,singer,term
slovak-0875,táto,this; emphatic (f; nom),term
slovak-0876,túto,this; emphatic (f; acc),term
slovak-0877,zasa,again,term
slovak-0878,izba,room,term
slovak-0879,maličkost',a trifle (small thing),term
slovak-0880,narodeniny,birthday,term
slovak-0881,niest',to carry; bring,term
slovak-0882,nesiem,I carry; bring,term
slovak-0883,odkial',from where?,term
slovak-0884,porozprávat' sa,to have a talk,term
slovak-0885,predsa len,anyway; after all,term
slovak-0886,sem,to here,term
slovak-0887,síce … ale,albeit … however,term
slovak-0888,taký,such a; this kind of,term
slovak-0889,vážne,seriously,term
slovak-0890,kam ide?,where is he going?,sentence
slovak-0891,ide von,he is going outside,sentence
slovak-0892,je dnu,he is in(side),sentence
slovak-0893,ide dnu,he goes in(side),sentence
slovak-0894,je preč,he is away,sentence
slovak-0895,ide preč,he goes away,sentence
slovak-0896,dolu,downstairs,term
slovak-0897,viezt',to convey; take by vehicle (impf),term
slovak-0898,veziem,I convey; take by vehicle,term
slovak-0899,niesol kufor,he carried the suitcase,sentence
slovak-0900,viedol Ivana do izby,he led Ivan into the room,sentence
slovak-0901,beriem knihu zo stola,I pick up the book from the table,sentence
slovak-0902,nesiem obed do izby,I carry the lunch into the room,sentence
slovak-0903,veziem Ivana do mesta,I convey Ivan into town,sentence
slovak-0904,Eva vedie auto,Eva drives the car,term
slovak-0905,umývat',to wash,term
slovak-0906,umývam sa,I wash myself,sentence
slovak-0907,umývam riad,I wash the dishes,sentence
slovak-0908,umývam si ruky,I wash my hands,sentence
slovak-0909,obliekat',to dress; put on (impf),term
slovak-0910,vyzliekat',to undress; take off (impf),term
slovak-0911,obliekam sa,I dress myself; get dressed,sentence
slovak-0912,obliekam si kabát,I put on my coat,sentence
slovak-0913,obúvat',to put on shoes (impf),term
slovak-0914,zobúvat',to take off shoes (impf),term
slovak-0915,oblečenie,clothing,term
slovak-0916,telo,body,term
slovak-0917,sako,jacket,term
slovak-0918,dáždnik,umbrella,term
slovak-0919,ruka,hand,term
slovak-0920,rukavice,gloves,term
slovak-0921,prsty,fingers,term
slovak-0922,klobúk,hat,term
slovak-0923,vlasy,hair,term
slovak-0924,uši,ears,term
slovak-0925,okuliare,glasses,term
slovak-0926,nos,nose,term
slovak-0927,oči,eyes,term
slovak-0928,šál,scarf,term
slovak-0929,tvár,face,term
slovak-0930,ústa,mouth,term
slovak-0931,oblek,suit,term
slovak-0932,plecia,shoulders,term
slovak-0933,chrbát,back (body part),term
slovak-0934,hrud',chest (body part),term
slovak-0935,pás,waist,term
slovak-0936,nohavice,trousers,term
slovak-0937,nohy,legs,term
slovak-0938,sukňa,skirt,term
slovak-0939,topánky,shoes,term
slovak-0940,sandále,sandals,term
slovak-0941,džínsy,jeans,term
slovak-0942,srdce,heart (body part),term
slovak-0943,krv,blood,term
slovak-0944,mozog,brain,term
slovak-0945,budík,alarm clock,term
slovak-0946,holit' sa,to shave,term
slovak-0947,kośel'a,shirt,term
slovak-0948,krajec,a slice,term
slovak-0949,mydlo,soap,term
slovak-0950,šunka,ham,term
slovak-0951,zvonit',to ring,term
slovak-0952,čo má robit',what he should do,sentence
slovak-0953,fl'aša,bottle,term
slovak-0954,nahnevaný,angry; cross,term
slovak-0955,nalievat',to pour out (impf),term
slovak-0956,namiesto,instead of,term
slovak-0957,otvárat',to open (impf),term
slovak-0958,počut',to hear,term
slovak-0959,preto,so; therefore,term
slovak-0960,priamo,straight; directly,term
slovak-0961,sadne si,s/he sits down,term
slovak-0962,správa,report; news,term
slovak-0963,telefonovat',to telephone,term
slovak-0964,tichý,quiet,term
slovak-0965,zatvárat',to close (impf),term
slovak-0966,dat',to give; put (pf),term
slovak-0967,napísat',to write (pf),term
slovak-0968,napíšem,I will write,term
slovak-0969,pod'akovat' za (+ acc),to thank for (pf),term
slovak-0970,posledný,last,term
slovak-0971,povedat',to tell (pf),term
slovak-0972,poviem,I will tell,term
slovak-0973,prečítat',to read (pf),term
slovak-0974,prečítam,I will read,term
slovak-0975,roman,novel,term
slovak-0976,situácia,situation,term
slovak-0977,taliansky,Italian,term
slovak-0978,s tebou,with you,term
slovak-0979,ti,to you,term
slovak-0980,za tú knihu,for that book,term
slovak-0981,výborný,excellent,term
slovak-0982,zal'úbený,in love,term
slovak-0983,záujem o (+ acc),interest in,term
slovak-0984,hladný,hungry,term
slovak-0985,chutný,tasty,term
slovak-0986,chyba,mistake,term
slovak-0987,iba,only,term
slovak-0988,kúpit',to buy (pf),term
slovak-0989,kúsok,a piece,term
slovak-0990,mohla by si,you (s) could,sentence
slovak-0991,nápad,an idea,term
slovak-0992,nedalo sa,it wasn't possible,sentence
slovak-0993,nedávno,recently,term
slovak-0994,opitý,drunk,term
slovak-0995,platit',to pay,term
slovak-0996,pozvat',to invite (pf),term
slovak-0997,privel'a,too much,term
slovak-0998,smiešny,funny,term
slovak-0999,sol',salt,term
slovak-1000,urobit',to do; make (pf),term
slovak-1001,uvarit',to cook (pf),term
slovak-1002,všetko,everything,term
slovak-1003,vypit',to drink (pf),term
slovak-1004,zajtra,tomorrow,term
slovak-1005,zaplatit',to pay (pf),term
slovak-1006,zjest',to eat up (pf),term
slovak-1007,zjedol,he ate up (pf),term
slovak-1008,písal som list,I was writing a letter (process),sentence
slovak-1009,napísal som list,I wrote a letter (complete),sentence
slovak-1010,včera písala list,yesterday she was writing a letter,term
slovak-1011,písala ho celý deň,she was writing it all day,sentence
slovak-1012,už ho napísala,now she has written it,term
slovak-1013,dnes napísala d'alší,today she wrote another one,term
slovak-1014,zajtra napíšem list,tomorrow I will write a letter,term
slovak-1015,niekedy prečíta celú knihu,sometimes she reads a whole book,term
slovak-1016,chcel by som … ,I would like … ,sentence
slovak-1017,mohol by som … ,Could I … ,sentence
slovak-1018,chcel by som hovorit' s pánom Kováčom,I would like to talk to Mr Kovac,sentence
slovak-1019,mohli by sme hovorit' s pani Vizárovou?,Could we speak with Mrs Vizarova?,sentence
slovak-1020,dôležitý,important,term
slovak-1021,dostat',to get (pf),term
slovak-1022,dúfat',to hope,term
slovak-1023,kedy,when?,term
slovak-1024,konferencia,conference,term
slovak-1025,mu,to him,term
slovak-1026,nebude,he won't be,term
slovak-1027,neskôr,later,term
slovak-1028,nič sa nestalo,nothing happened; don't mention it,term
slovak-1029,obt'ažovat',to bother; disturb,term
slovak-1030,odkázat',to give a message (pf),term
slovak-1031,pondelok,Monday,term
slovak-1032,pri telefóne,on the phone,term
slovak-1033,určite,definitely,term
slovak-1034,viac ako,more than,term
slovak-1035,Viedeň,Vienna,term
slovak-1036,vrátit' sa,to return (pf),term
slovak-1037,zavolat',to call; phone (pf),term
slovak-1038,žial'bohu,unfortunately,term
slovak-1039,ide o + acc,it concerns,sentence
slovak-1040,niekam,to somewhere,term
slovak-1041,s ním,with him,term
slovak-1042,obávat' sa,to fear,term
slovak-1043,opät',again,term
slovak-1044,poriadok,order,term
slovak-1045,v poriadoku,in order,term
slovak-1046,pozajtra,the day after tomorrow,term
slovak-1047,prekážat',to obstruct; be a nuisance,term
slovak-1048,presne,exactly,term
slovak-1049,seminár,seminar,term
slovak-1050,spomínat' si,to remember,term
slovak-1051,stretnút' sa,to meet up (pf),term
slovak-1052,vám,to you (pl),term
slovak-1053,utorok,Tuesday,term
slovak-1054,streda,Wednesday,term
slovak-1055,štvrtok,Thursday,term
slovak-1056,piatok,Friday,term
slovak-1057,sobota,Saturday,term
slovak-1058,nedel'a,Sunday,term
slovak-1059,predvčerom,the day before yesterday,term
slovak-1060,v noci,in the night,term
slovak-1061,vo dne,in the day,term
slovak-1062,prídem o týždeň,I will come in a week's time,sentence
slovak-1063,d'akovat',to thank (impf),term
slovak-1064,podpísat',to sign; write under (pf),term
slovak-1065,otvorit',to open (pf),term
slovak-1066,zatvorit',to close (pf),term
slovak-1067,obut',to put on shoes (pf),term
slovak-1068,zobut',to take off shoes (pf),term
slovak-1069,príst',to come; arrive (pf),term
slovak-1070,prichádzat',to come; arrive (impf),term
slovak-1071,odíst,to go away (pf),term
slovak-1072,odchádzat',to go away (impf),term
slovak-1073,ja mu to poviem,I'll tell him it,sentence
slovak-1074,povedal mi to včera,he told me yday,sentence
slovak-1075,ako sa to povie po slovensky?,how do you say it in Slovak?,sentence
slovak-1076,po anglicky sa povie … ,in English you say … ,term
slovak-1077,budem,I will be,term
slovak-1078,budeš,you (s) will be,term
slovak-1079,bude,(s)he will be,term
slovak-1080,budeme,we will be,term
slovak-1081,budete,you (pl) will be,term
slovak-1082,budú,they will be,term
slovak-1083,budem písat' list,I will be writing a letter,sentence
slovak-1084,nebudeme otvárat' okno,we won't be opening the window (in general),sentence
slovak-1085,blúzka,blouse,term
slovak-1086,čajník,teapot,term
slovak-1087,hodvábny,silk,term
slovak-1088,lekár; lekárka,doctor,term
slovak-1089,make-up,make-up,term
slovak-1090,nájst'; našiel,to find (pf),term
slovak-1091,nemocnica,hospital,term
slovak-1092,nočná služba,night duty,term
slovak-1093,obliect'; obliekol,to put on clothes (pf),term
slovak-1094,osprchovat' sa,to have a shower (pf),term
slovak-1095,postavit' vodu,to put on water; boil (pf),term
slovak-1096,prázdny,empty,term
slovak-1097,rýchlo,quickly,term
slovak-1098,úzky,narrow,term
slovak-1099,vstat'; vstanem,to get up (pf),term
slovak-1100,vyzliect'; vyzliekol,to take off clothes (pf),term
slovak-1101,zazvonit',to ring (pf),term
slovak-1102,zíst'; zišiel,to go down (pf),term
slovak-1103,zrkadlo,mirror,term
slovak-1104,ako vždy,as always,term
slovak-1105,ako zvyčajne,as usual,term
slovak-1106,Anglicko,England,term
slovak-1107,Európa,Europe,term
slovak-1108,Kanada,Canada,term
slovak-1109,kultúra,culture,term
slovak-1110,minulý,last; past (time period),term
slovak-1111,nakúpit',to do shopping (pf),term
slovak-1112,naliat'; nalejem,to pour out (pf),term
slovak-1113,naraňajkovat' sa,to have breakfast (pf),term
slovak-1114,odviezt',to drive; take (away) (pf),term
slovak-1115,sadnút'; sadol,to sit down (pf),term
slovak-1116,sídlisko,housing estate,term
slovak-1117,strašný,terrible; awful,term
slovak-1118,upratat',to tidy up (pf),term
slovak-1119,uvidiet',to see; catch sight of (pf),term
slovak-1120,vošli,they went in,term
slovak-1121,začat'; začnem,to begin (pf),term
slovak-1122,zvyčajne,usually,term
slovak-1123,britský,British,term
slovak-1124,cestovný pas,passport,term
slovak-1125,čierny,black,term
slovak-1126,kožený,leather (adj),term
slovak-1127,kút,corner,term
slovak-1128,miestnost',room,term
slovak-1129,ohlásit',to report (pf),term
slovak-1130,peňaženka,purse,term
slovak-1131,plný,full,term
slovak-1132,polícia,the police,term
slovak-1133,na polícii,at the police station,term
slovak-1134,predný,front; anterior,term
slovak-1135,stratit',to lose (pf),term
slovak-1136,s tamtým pánom,with that man,term
slovak-1137,taška,bag,term
slovak-1138,v tejto taške,in this bag,term
slovak-1139,triċko,T-shirt,term
slovak-1140,zadný,back; rear,term
slovak-1141,zelený,green,term
slovak-1142,budova,building,term
slovak-1143,čašníčka,waitress,term
slovak-1144,dol'ava,to the left,term
slovak-1145,doprava,to the right,term
slovak-1146,hlavný,main,term
slovak-1147,moderný,modern,term
slovak-1148,naproti + dat,opposite,term
slovak-1149,obchodný dom,department store,term
slovak-1150,počkajte!,wait!,term
slovak-1151,pôjdete,you'll go,term
slovak-1152,policajná stanica,police station,term
slovak-1153,pošta,post office,term
slovak-1154,prejdete,you'll cross (pf),term
slovak-1155,pult,counter; bar,term
slovak-1156,rado sa stalo,happy to oblige,term
slovak-1157,slečna,Miss,term
slovak-1158,vedl'a + gen,next to,term
slovak-1159,vyjdete,you'll go out (pf),term
slovak-1160,vypadnút',to fall out (pf),term
slovak-1161,farba,colour,term
slovak-1162,akú chcete farbu?,what colour do you want?,sentence
slovak-1163,nemáte to v inej farbe?,don't you have it in another colour?,sentence
slovak-1164,akú to má farbu?,what colour is it?,sentence
slovak-1165,belasý,light blue,term
slovak-1166,žltý,yellow,term
slovak-1167,hnedý,brown,term
slovak-1168,sivý,grey,term
slovak-1169,ružový,pink,term
slovak-1170,oranžový,orange,term
slovak-1171,fialový,purple,term
slovak-1172,béžový,beige,term
slovak-1173,aké máte auto?,what kind of car do you have?,sentence
slovak-1174,tráva je zelená,the grass is green,term
slovak-1175,obloha je modrá,the sky is blue,term
slovak-1176,kvetina je žltá,the flower is yellow,term
slovak-1177,čo je to?,what is this?,sentence
slovak-1178,to je dom,that is a house,sentence
slovak-1179,je to kniha?,is this a book?,sentence
slovak-1180,kto je ten študent?,who is this student?,sentence
slovak-1181,kde je tá kniha?,where is that book?,sentence
slovak-1182,kde je to mesto?,where is this town?,sentence
slovak-1183,tento,this; emphatic (m; nom),term
slovak-1184,toto,this; emphatic (n; nom),term
slovak-1185,táto kniha je vel'mi dobrá,this (here) book is very good,sentence
slovak-1186,tamten,that; emphatic (m; nom),term
slovak-1187,tamtá,that; emphatic (f; nom),term
slovak-1188,tamto,that; emphatic (n; nom),term
slovak-1189,tamtá kniha nie je dobrá,that (there) book is not good,sentence
slovak-1190,toho,this (m; acc),term
slovak-1191,tú,this (f; acc),term
slovak-1192,tohto,this; emphatic (m; acc),term
slovak-1193,vidíte tamtoho študenta?,do you see that (there) student?,sentence
slovak-1194,vidíte túto knihu?,do you see this (here) book?,sentence
slovak-1195,do toho,this (m/n; gen),sentence
slovak-1196,k tomu,this (m/n; dat),sentence
slovak-1197,v tom,this (m/n; loc),sentence
slovak-1198,za tým,this (m/n; instr),sentence
slovak-1199,poznáte toho mladého človeka?,do you know that young person?,sentence
slovak-1200,do tej,this (f; gen),sentence
slovak-1201,k tej,this (f; dat),sentence
slovak-1202,v tej,this (f; loc),sentence
slovak-1203,za tou,this (f; instr),sentence
slovak-1204,a iné; čo,and other (suchlike); which … ,term
slovak-1205,čo; o čom,what; about what,sentence
slovak-1206,kým,while,term
slovak-1207,maliarstvo,painting,term
slovak-1208,milovat',to love,term
slovak-1209,nenávidiet',to hate,term
slovak-1210,súčasný,contemporary,term
slovak-1211,u + gen,at (someone)'s house,term
slovak-1212,vlani,last year,term
slovak-1213,vlastne,actually; in fact,term
slovak-1214,aspoň,at least,term
slovak-1215,bankár,banker,term
slovak-1216,bohatý,rich,term
slovak-1217,dáky,some or other,term
slovak-1218,dokonca (aj),even,term
slovak-1219,chudobný,poor,term
slovak-1220,jednoducho,simply,term
slovak-1221,krajinka,landscape,term
slovak-1222,mimoriadne,extraordinarily,term
slovak-1223,napríklad,for example,term
slovak-1224,nemožný,impossible,term
slovak-1225,nikto,nobody,term
slovak-1226,nikomu,to nobody,term
slovak-1227,osobne,personally,term
slovak-1228,písanie,writing,term
slovak-1229,pohl'adnica,postcard,term
slovak-1230,prestat'; prestane,to stop doing (pf),term
slovak-1231,skutočne,actually; really,term
slovak-1232,stýkat' sa,to be in touch,term
slovak-1233,takýto,this kind of; such,term
slovak-1234,úplne,entirely; completely,term
slovak-1235,vyberat',to choose (impf),term
slovak-1236,vybrat'; vyberie,to choose (pf),term
slovak-1237,zatial' čo,while,term
slovak-1238,zistit',to find out; ascertain,term
slovak-1239,známka,a stamp,term
slovak-1240,preto,for that reason; that's why,term
slovak-1241,o čom hovorís?,what are you talking about?,sentence
slovak-1242,o kom hovorís?,whom are you talking about?,sentence
slovak-1243,komu varíš obed?,who are you cooking lunch for?,sentence
slovak-1244,koho,of whom? (gen),term
slovak-1245,komu,to whom? (dat),term
slovak-1246,kom,about whom? (loc),term
slovak-1247,kým,with whom? (instr),term
slovak-1248,čoho,of what? (gen),term
slovak-1249,čomu,to what? (dat),term
slovak-1250,čím,with what? (instru),term
slovak-1251,niekto,somebody,term
slovak-1252,dakto,someone or other,term
slovak-1253,nič,nothing,term
slovak-1254,nikoho nemá rád,He doesn’t like anybody,sentence
slovak-1255,nehovorí o ničom,He talks about nothing,sentence
slovak-1256,dakde,somewhere or other,term
slovak-1257,nikde,nowhere,term
slovak-1258,nikam,to nowhere,term
slovak-1259,nijaký,no kind of,term
slovak-1260,l'ahký,light; easy,term
slovak-1261,l'ahko,lightly; easily,term
slovak-1262,okamžitý,immediate,term
slovak-1263,okamžite,immediately,term
slovak-1264,idem rýchlo,I go quickly,sentence
slovak-1265,nehovorí po slovensky,he doesn't speak (in) Slovak,sentence
slovak-1266,letecký,air,term
slovak-1267,letecky,by air (letter),term
slovak-1268,čím je tvoy otec?,(as) what (role) is your father?,sentence
slovak-1269,môj otec je učitel'om,my father is (functioning as) a teacher,term
slovak-1270,autor,author (m),term
slovak-1271,autorka,author (f),term
slovak-1272,článok,article,term
slovak-1273,čudovat' sa,to be amazed,term
slovak-1274,dnešný,today's,term
slovak-1275,chudý,thin,term
slovak-1276,interview,interview,term
slovak-1277,kolegyňa,a colleague (f),term
slovak-1278,l'utovat',to be sorry,term
slovak-1279,nechat',to leave; let (pf),term
slovak-1280,novinár,journalist (m),term
slovak-1281,novinárka,journalist (f),term
slovak-1282,obyčajný,ordinary,term
slovak-1283,politický,political,term
slovak-1284,politik,politician,term
slovak-1285,pravda; to je … ,truth; that's true,term
slovak-1286,schudnut'; schudol,to get thin (pf),term
slovak-1287,spoznat',to recognise (pf),term
slovak-1288,stredný,central,term
slovak-1289,stučniet',to grow fat,term
slovak-1290,Škótsko,Scotland,term
slovak-1291,športovat',to play sports,term
slovak-1292,tučný,fat,term
slovak-1293,vizitka,business card,term
slovak-1294,zaujímat',to interest,term
slovak-1295,zmenit',to change (pf),term
slovak-1296,čo nového?,what's new?,sentence
slovak-1297,fajn,fine,term
slovak-1298,kríž,cross (mood),term
slovak-1299,lepšie,better,term
slovak-1300,povedzme,let's say,term
slovak-1301,rozviest' sa; rozviedol sa,to get divorced (pf),term
slovak-1302,o siedmej,at seven o'clock,term
slovak-1303,sloboda,freedom,term
slovak-1304,tešit' sa na + acc,to look forward to,term
slovak-1305,vináreň,winebar,term
slovak-1306,zájst',to call in somewhere,term
slovak-1307,zlatý,golden,term
slovak-1308,zobrat'; zoberiem,to take (pf),term
slovak-1309,zobrat' sa,to get married (pf),term
slovak-1310,žiadny,no,term
slovak-1311,čokoláda,chocolate,term
slovak-1312,koňak,cognac; brandy,term
slovak-1313,neporiadok,disorder,term
slovak-1314,ovocie,fruit,term
slovak-1315,posad'te sa,take a seat (pf),term
slovak-1316,pripravit',to prepare (pf),term
slovak-1317,sadnite si,sit down (pf),term
slovak-1318,tušit',to guess; sense,term
slovak-1319,upratovanie,tidying up,term
slovak-1320,pravit',to put in order (pf),term
slovak-1321,vypit' si,to have a drink (pf),term
slovak-1322,vyrušovat',to disturb,term
slovak-1323,zdravie,health,term
slovak-1324,na zdravie!,cheers!,sentence
slovak-1325,že?,isn't it so?,term
slovak-1326,neboj sa!,don't be afraid!,sentence
slovak-1327,bozkat',to kiss,term
slovak-1328,bozkaj!,kiss!,term
slovak-1329,telefónne číslo,phone number,term
slovak-1330,čoskorohudý,soon,term
slovak-1331,hnevat' sa,to be angry,term
slovak-1332,nehnevaj sa!,don't be angry!,sentence
slovak-1333,hodiny,hours; classes,term
slovak-1334,chod'!,go!,term
slovak-1335,jablko,apple,term
slovak-1336,mnou,me,term
slovak-1337,naučit' sa,to learn (pf),term
slovak-1338,nebud'!,don't be!,term
slovak-1339,nemysli si!,don't think; imagine!,sentence
slovak-1340,nervózny,nervous; tense,term
slovak-1341,o chvíl'u,in a while; a while later,term
slovak-1342,počkaj!,wait! (pf),term
slovak-1343,polnoc,midnight,term
slovak-1344,pomaranč,an orange,term
slovak-1345,pozriet' sa,to look (pf),term
slovak-1346,pozrite sa!,look! (pf),sentence
slovak-1347,mat' pravdu,to be right,term
slovak-1348,ročník,year (of studies),term
slovak-1349,rozhodne,definitely,term
slovak-1350,sl'úbit',to promise (pf),term
slovak-1351,sl'ub!,promise! (pf),term
slovak-1352,o šiestej,at six o'clock,term
slovak-1353,taký,so (with an adjective),term
slovak-1354,vezmi si!,take! have!,sentence
slovak-1355,zapísat',to note down (pf),term
slovak-1356,zapíš!,note down! (pf),term
slovak-1357,zavolaj mi!,call me! (pf),sentence
slovak-1358,čítaj!,read! (pf) (sing),term
slovak-1359,čítajte!,read! (pf) (plural),term
slovak-1360,píš!,write! (pf) (sing),term
slovak-1361,píšte!,write! (pf) (plural),term
slovak-1362,pracuj!,work! (pf) (sing),term
slovak-1363,pracujte!,work! (pf) (pl),term
slovak-1364,čítajme!,let's read! (pf),term
slovak-1365,pod'!,come! (pf) (sing),term
slovak-1366,pod'te!,come! (pf) (pl),term
slovak-1367,sedím na stoličke,I am sitting on a chair,sentence
slovak-1368,ležím na posteli,I am lying on the bed,sentence
slovak-1369,sadla si na stoličku,she sat down onto the chair,sentence
slovak-1370,l'ahol si na postel',he lay down onto the bed,sentence
